id,neighbourhood group,neighbourhood,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,availability 365
1173101,2,Upper West Side,1,0,2008,1384600,277200,13.0,38,0.39,3.0,0.71
1174758,1,Williamsburg,2,0,2005,1101800,219800,1.0,68,0.67,3.0,0.48
1175311,2,East Harlem,1,0,2016,376600,75600,14.0,26,0.27,5.0,0.64
1180281,1,Boerum Hill,1,0,2013,226800,44800,4.0,6,0.1,5.0,0.32
1181386,1,Williamsburg,1,2,2021,792400,158200,14.0,76,0.76,5.0,0.51
1201269,1,Gowanus,2,0,2006,805000,161000,7.0,98,0.99,3.0,0.61
1202373,2,Upper West Side,1,0,2012,72800,14000,21.0,45,0.46,5.0,0.3
1203478,1,Greenpoint,2,2,2004,95200,19600,3.0,9,0.09,4.0,0.26
1204582,3,Rockaway Beach,2,2,2011,613200,123200,27.0,13,0.13,3.0,0.08
1205135,1,Crown Heights,1,0,2006,686000,137200,30.0,15,0.16,5.0,0.52
1207344,2,Upper West Side,0,0,2014,516600,103600,5.0,49,0.56,2.0,0.44
1207896,2,Midtown,0,0,2022,711200,142800,18.0,54,0.57,4.0,0.28
1209553,2,Upper East Side,2,0,2021,1199800,239400,2.0,56,0.57,3.0,0.31
1211762,1,South Slope,2,0,2003,1359400,271600,14.0,27,0.28,2.0,0.01
1212315,2,Lower East Side,0,0,2008,974400,194600,1.0,52,0.6,5.0,0.07
1217285,2,East Village,1,2,2018,169400,33600,2.0,0,0.3333333333333333,4.0,0.38
1217838,1,Williamsburg,1,0,2008,1103200,221200,4.0,50,0.51,3.0,0.36
1218390,1,Williamsburg,2,0,2010,820400,163800,2.0,29,0.31,1.0,0.13
1218942,1,Park Slope,0,0,2017,851200,170800,2.0,23,0.23,2.0,0.23
1220047,2,East Village,0,0,2010,215600,43400,2.0,70,0.73,4.0,0.3
1220599,1,Bedford-Stuyvesant,0,2,2008,184800,36400,2.0,38,0.54,3.0,0.71
1234959,2,Harlem,0,0,2018,1015000,203000,8.0,17,0.17,3.0,0.2
1241587,2,Lower East Side,0,0,2019,1309000,261800,4.0,19,0.2,5.0,0.1
1242691,1,Williamsburg,1,2,2012,358400,71400,2.0,8,0.09,3.0,0.09
1247110,2,Harlem,2,2,2006,970200,194600,3.0,38,0.42,4.0,0.6
1247662,1,Williamsburg,0,0,2010,1045800,208600,45.0,39,0.5,5.0,0.69
1248214,1,Bedford-Stuyvesant,2,0,2020,1268400,253400,31.0,88,0.91,3.0,0.19
1249871,1,Clinton Hill,1,2,2017,1005200,201600,3.0,43,0.44,2.0,0.64
1250423,1,Greenpoint,0,0,2015,168000,33600,5.0,4,0.05,3.0,0.71
1252080,1,Bedford-Stuyvesant,1,2,2017,1199800,239400,1.0,39,0.41,5.0,0.47
1252633,2,Chelsea,2,2,2004,1174600,235200,2.0,37,1.79,2.0,0.01
1254842,1,Williamsburg,2,2,2018,315000,63000,6.0,3,0.03,5.0,0.37
1259812,1,Carroll Gardens,0,0,2013,72800,14000,7.0,7,0.07,5.0,0.14
1262574,2,Washington Heights,0,2,2016,572600,114800,398.0,34,0.35,1.0,0.5
1270306,1,Gravesend,2,0,2021,1066800,212800,7.0,0,0.0,0.0,0.56
1275277,1,Bushwick,0,0,2011,439600,88200,2.0,11,0.46,2.0,0.49
1277486,1,Williamsburg,2,0,2015,229600,46200,4.0,23,0.24,3.0,0.43
1278038,1,Greenpoint,0,0,2020,820400,163800,2.0,20,0.21,5.0,0.32
1291846,1,Prospect Heights,0,0,2013,1360800,271600,3.0,33,0.35,1.0,0.41
1292950,2,East Village,2,2,2010,212800,42000,3.0,81,0.85,4.0,0.53
1294055,1,Williamsburg,0,2,2003,779800,155400,30.0,52,0.54,4.0,0.38
1295160,2,Chelsea,2,0,2020,1170400,233800,6.0,23,0.27,1.0,0.65
1295712,2,Upper West Side,0,2,2007,253400,50400,6.0,35,0.37,4.0,0.42
1297369,1,Prospect-Lefferts Gardens,1,2,2016,93800,18200,1.0,72,0.84,2.0,0.2
1302892,2,Upper East Side,2,3,2015,1274000,254800,1.0,0,0.08333333333333333,1.0,0.66
1310072,1,Fort Greene,1,0,2016,494200,99400,2.0,4,0.18,4.0,0.34
1311729,1,Williamsburg,2,0,2022,499800,99400,3.0,14,0.15,5.0,0.62
1315595,1,Gowanus,1,0,2022,662200,133000,7.0,9,0.1,2.0,0.28
1316699,2,Lower East Side,0,2,2021,319200,64400,30.0,25,0.49,1.0,0.72
1318356,3,Long Island City,0,0,2012,666400,133000,30.0,24,0.25,3.0,0.29
1319461,1,Fort Hamilton,1,0,2003,732200,147000,30.0,7,0.08,4.0,0.27
1320013,2,Harlem,2,2,2010,203000,40600,7.0,19,0.35,5.0,0.37
1329402,1,Boerum Hill,1,0,2009,554400,110600,4.0,18,0.21,4.0,0.11
1335478,2,Chinatown,2,2,2007,166600,33600,30.0,59,0.64,3.0,0.42
1336030,1,Bedford-Stuyvesant,2,0,2012,341600,68600,7.0,63,1.87,1.0,0.56
1336582,2,Hell's Kitchen,0,2,2017,975800,194600,2.0,52,0.55,1.0,0.67
1342105,2,Hell's Kitchen,1,0,2017,946400,189000,30.0,83,0.88,3.0,0.17
1343210,2,Midtown,0,2,2015,809200,162400,2.0,61,0.65,3.0,0.36
1349285,2,Greenwich Village,2,0,2006,1071000,214200,30.0,0,0.08333333333333333,1.0,0.11
1349837,2,Chinatown,1,0,2021,263200,53200,7.0,2,0.03,2.0,0.35
1353703,1,Clinton Hill,1,2,2022,82600,16800,1.0,43,0.46,5.0,0.07
1354256,1,Bedford-Stuyvesant,1,0,2008,645400,128800,6.0,8,0.33,3.0,0.12
1359226,2,Chelsea,0,0,2005,600600,120400,5.0,34,0.39,1.0,0.19
1360331,2,Gramercy,1,0,2021,880600,176400,1.0,5,0.06,4.0,0.42
1363645,2,Washington Heights,2,2,2021,1380400,275800,60.0,4,0.06,0.0,0.03
1364197,1,Bedford-Stuyvesant,2,2,2019,688800,137200,1.0,7,0.08,0.0,0.32
1365302,1,Crown Heights,2,2,2009,96600,19600,3.0,0,0.0,0.0,0.57
1371929,1,Greenpoint,0,0,2009,959000,191800,3.0,59,0.66,2.0,0.7
1372482,1,Brighton Beach,0,2,2011,891800,177800,1.0,2,0.04,1.0,0.48
1373034,2,Upper West Side,0,0,2013,949200,190400,2.0,16,0.23,2.0,0.32
1373586,2,Harlem,2,2,2008,1229200,246400,2.0,72,0.77,3.0,0.44
1377452,1,,2,2,2009,739200,148400,3.0,3,0.03,2.0,0.41
1387394,3,St. Albans,0,2,2015,1033200,207200,4.0,20,0.23,3.0,0.62
1388498,2,Chelsea,0,0,2015,247800,49000,365.0,10,0.12,1.0,0.37
1390708,4,Arrochar,1,0,2013,1183000,236600,2.0,8,0.09,1.0,0.19
1391260,1,Fort Greene,0,0,2010,1311800,261800,7.0,4,0.05,1.0,0.54
1392364,1,Bedford-Stuyvesant,2,0,2003,788200,158200,3.0,18,0.25,3.0,0.51
1394574,2,West Village,1,0,2004,1229200,246400,7.0,8,0.12,5.0,0.64
1398440,2,Harlem,0,0,2016,691600,138600,1.0,1,0.18,3.0,0.08
1402306,2,,1,0,2003,1163400,232400,5.0,8,0.09,3.0,0.12
1402858,2,Upper East Side,1,0,2005,1269800,253400,7.0,11,0.12,5.0,0.17
1406172,2,Chelsea,1,0,2006,610400,121800,4.0,0,0.08333333333333333,1.0,0.69
1406724,2,Lower East Side,2,0,2019,942200,189000,4.0,68,0.77,5.0,0.52
1409486,1,Kensington,2,2,2003,590800,117600,2.0,20,0.42,3.0,0.5
1410038,2,East Harlem,0,2,2019,820400,163800,3.0,25,0.96,5.0,0.33
1410590,2,Harlem,0,0,2020,932400,186200,2.0,35,0.42,3.0,0.28
1413352,1,Bushwick,0,2,2017,518000,103600,15.0,21,0.29,5.0,0.25
1414456,1,Bedford-Stuyvesant,1,2,2011,243600,49000,10.0,16,0.19,4.0,0.42
1415561,1,Williamsburg,0,2,2009,91000,18200,1.0,30,0.33,4.0,0.07
1417770,1,Bedford-Stuyvesant,2,2,2012,877800,175000,5.0,45,0.52,2.0,0.71
1418875,2,Upper East Side,1,0,2011,79800,15400,3.0,5,0.08,4.0,0.15
1419979,2,Washington Heights,2,0,2007,553000,110600,122.0,20,0.41,1.0,0.52
1420532,2,East Village,1,0,2019,722400,144200,3.0,49,0.53,4.0,0.36
1422741,2,West Village,2,0,2013,175000,35000,5.0,28,0.31,4.0,0.21
1423293,2,East Harlem,1,2,2003,1141000,228200,6.0,0,0.16666666666666666,2.0,0.04
1424950,1,Clinton Hill,1,0,2011,112000,22400,5.0,6,0.13,4.0,0.37
1425502,2,Upper East Side,1,0,2003,163800,32200,15.0,1,0.02,1.0,0.51
1430473,3,Astoria,0,2,2012,1275400,254800,5.0,3,0.03,1.0,0.13
1433235,1,Bedford-Stuyvesant,0,0,2006,1275400,254800,3.0,63,0.72,2.0,0.22
1435996,1,Kensington,0,0,2017,365400,72800,30.0,3,0.05,4.0,0.7
1437101,1,Bedford-Stuyvesant,2,2,2017,981400,196000,3.0,29,1.57,5.0,0.51
1437653,1,Gowanus,1,0,2007,390600,78400,6.0,69,0.76,3.0,0.54
1438758,1,Cypress Hills,2,2,2012,1265600,253400,7.0,0,0.0,0.0,0.3
1439310,2,East Village,1,0,2017,1310400,261800,7.0,24,0.26,0.0,0.28
1439862,1,Williamsburg,2,0,2005,1087800,217000,7.0,0,0.0,0.0,0.7
1440967,2,Hell's Kitchen,1,0,2004,1163400,232400,3.0,10,0.23,1.0,0.23
1442624,2,East Village,2,2,2010,708400,141400,6.0,1,0.01,1.0,0.34
1443728,1,Bushwick,0,2,2020,442400,88200,15.0,5,0.06,3.0,0.13
1445938,2,Hell's Kitchen,0,0,2016,1390200,278600,2.0,72,0.82,4.0,0.66
1447594,1,Williamsburg,1,0,2016,716800,142800,6.0,66,0.72,2.0,0.27
1448147,1,Fort Greene,2,0,2014,135800,26600,3.0,35,0.4,1.0,0.38
1452565,1,Greenpoint,2,0,2014,1362200,273000,4.0,46,0.52,2.0,0.62
1453117,2,Chinatown,2,0,2019,974400,194600,30.0,37,0.41,1.0,0.13
1453670,2,Upper West Side,0,0,2017,280000,56000,7.0,14,0.16,4.0,0.53
1454222,1,Crown Heights,1,0,2004,1087800,217000,5.0,37,0.45,1.0,0.03
1454774,3,Astoria,0,0,2012,406000,81200,5.0,1,0.03,1.0,0.11
1455879,2,Hell's Kitchen,1,0,2006,487200,98000,3.0,4,0.07,4.0,0.07
1458640,1,Greenpoint,2,0,2016,331800,65800,3.0,43,0.49,1.0,0.38
1459193,3,Astoria,0,0,2013,337400,67200,3.0,7,0.08,2.0,0.44
1460297,2,Upper West Side,0,0,2010,876400,175000,1.0,88,0.99,3.0,0.12
1460850,1,Greenpoint,0,0,2009,578200,116200,3.0,73,0.84,3.0,0.11
1461402,1,Greenpoint,2,0,2006,715400,142800,3.0,89,1.06,4.0,0.51
1462507,1,Williamsburg,2,0,2009,399000,79800,3.0,11,0.16,5.0,0.54
1463059,1,Williamsburg,2,2,2012,1166200,233800,28.0,84,1.12,2.0,0.05
1464163,1,Williamsburg,1,2,2015,1289400,257600,3.0,17,0.19,1.0,0.23
1465268,1,Williamsburg,2,0,2004,182000,36400,1.0,73,0.89,5.0,0.11
1466373,1,Williamsburg,1,2,2011,642600,128800,2.0,98,1.07,5.0,0.42
1468030,1,Bedford-Stuyvesant,1,2,2017,439600,88200,5.0,18,0.2,1.0,0.33
1468582,1,Williamsburg,0,2,2021,525000,105000,3.0,24,0.28,5.0,0.69
1470239,1,Williamsburg,2,0,2009,1328600,266000,14.0,23,0.25,3.0,0.27
1470791,1,Bedford-Stuyvesant,2,2,2007,693000,138600,2.0,93,1.12,3.0,0.64
1471896,2,Upper East Side,0,2,2006,393400,78400,3.0,0,0.25,3.0,0.35
1473553,1,Greenpoint,1,0,2007,700000,140000,4.0,9,0.1,0.0,0.01
1474105,2,Harlem,0,2,2009,1213800,242200,2.0,44,0.49,0.0,0.47
1475762,2,East Harlem,0,0,2016,316400,63000,3.0,51,0.57,0.0,0.38
1476314,2,Upper West Side,1,0,2007,442400,88200,1.0,0,0.0,0.0,0.17
1480732,2,Harlem,1,2,2006,183400,36400,3.0,33,0.39,1.0,0.65
1481285,2,Harlem,2,2,2013,135800,26600,3.0,30,0.35,5.0,0.55
1484046,3,Ridgewood,2,2,2011,557200,112000,2.0,98,1.09,5.0,0.45
1485151,2,Lower East Side,0,0,2019,1103200,221200,30.0,13,0.34,4.0,0.68
1486808,2,West Village,0,0,2008,1030400,205800,14.0,65,0.73,4.0,0.47
1487360,1,Kensington,1,0,2013,1241800,247800,3.0,62,0.71,2.0,0.68
1487912,2,Harlem,0,2,2022,1069600,214200,3.0,47,0.57,3.0,0.25
1488465,1,Bushwick,1,0,2022,672000,134400,2.0,42,0.48,4.0,0.41
1490122,1,Greenpoint,2,2,2019,733600,147000,14.0,22,0.25,1.0,0.27
1490674,2,Harlem,0,0,2017,683200,137200,30.0,25,0.28,5.0,0.15
1491778,1,Williamsburg,2,0,2017,1061200,212800,4.0,26,0.73,4.0,0.14
1492883,2,Washington Heights,1,0,2005,926800,184800,3.0,18,0.21,3.0,0.13
1495092,2,Upper West Side,1,0,2003,1169000,233800,30.0,64,0.72,1.0,0.66
1498958,2,East Village,2,0,2021,378000,75600,5.0,1,0.02,1.0,0.19
1500063,2,Midtown,1,0,2021,1061200,212800,10.0,19,0.27,4.0,0.38
1501720,1,Flatbush,2,0,2015,511000,102200,4.0,9,0.11,2.0,0.0
1502824,2,Inwood,2,2,2019,211400,42000,7.0,46,0.62,4.0,0.21
1503377,1,Williamsburg,1,2,2021,341600,68600,4.0,42,0.47,4.0,0.7
1505586,1,East Flatbush,0,0,2021,239400,47600,3.0,64,0.72,4.0,0.47
1506138,1,East Flatbush,0,0,2021,1349600,270200,3.0,51,0.58,2.0,0.46
1506691,1,East Flatbush,1,0,2016,1260000,252000,3.0,79,0.88,1.0,0.4
1508347,2,Hell's Kitchen,1,2,2017,1199800,239400,6.0,62,0.76,0.0,0.48
1508900,2,Upper West Side,0,0,2012,803600,161000,2.0,36,0.45,0.0,0.27
1509452,2,Upper East Side,1,0,2006,417200,84000,1.0,16,0.19,0.0,0.28
1510004,2,Hell's Kitchen,2,0,2018,947800,189000,4.0,24,0.27,0.0,0.18
1510557,2,Harlem,2,2,2018,263200,53200,2.0,77,0.88,0.0,0.17
1512214,2,West Village,0,2,2005,1062600,212800,1.0,7,0.08,3.0,0.12
1512766,2,Flatiron District,0,2,2020,872200,175000,21.0,0,0.16666666666666666,2.0,0.72
1514423,2,Lower East Side,0,0,2011,645400,128800,1.0,53,0.6,1.0,0.59
1519946,2,East Village,0,0,2015,238000,47600,6.0,41,0.47,2.0,0.13
1521050,1,Crown Heights,0,0,2020,733600,147000,3.0,34,0.39,3.0,0.01
1521603,2,Midtown,1,0,2012,1352400,270200,7.0,27,0.31,2.0,0.24
1522155,1,Williamsburg,0,2,2013,175000,35000,4.0,30,0.34,4.0,0.09
1523260,2,Upper East Side,2,3,2008,901600,180600,30.0,12,0.14,4.0,0.47
1523812,2,Harlem,0,2,2021,1187200,238000,2.0,6,0.09,5.0,0.57
1524364,2,Upper West Side,0,2,2004,534800,106400,7.0,0,0.25,3.0,0.1
1526021,1,Crown Heights,2,0,2013,1377600,275800,5.0,1,0.02,3.0,0.42
1528783,1,Greenpoint,2,0,2016,156800,30800,2.0,5,0.1,1.0,0.49
1531544,2,Hell's Kitchen,0,0,2003,82600,16800,7.0,13,0.15,1.0,0.57
1532096,1,Park Slope,0,0,2017,560000,112000,4.0,23,0.67,5.0,0.19
1533201,2,Harlem,2,2,2010,1184400,236600,3.0,10,0.12,3.0,0.55
1534306,2,Inwood,2,2,2022,1027600,205800,1.0,20,0.28,1.0,0.58
1536515,2,Upper East Side,1,2,2008,1394400,278600,7.0,93,1.06,3.0,0.26
1538172,2,Harlem,2,0,2018,947800,189000,2.0,70,0.8,5.0,0.25
1538724,2,Washington Heights,1,2,2009,1286600,257600,3.0,4,0.41,3.0,0.05
1539829,3,Briarwood,0,2,2004,961800,191800,1.0,59,0.69,4.0,0.47
1540381,3,Ozone Park,2,3,2012,996800,198800,1.0,8,0.11,2.0,0.4
1541485,1,Williamsburg,1,2,2017,536200,107800,15.0,15,0.57,5.0,0.18
1542590,2,Financial District,0,0,2018,705600,141400,4.0,27,0.31,5.0,0.05
1543142,2,Nolita,0,2,2015,1156400,231000,5.0,61,0.7,5.0,0.1
1544247,3,Briarwood,1,2,2013,1013600,203000,1.0,16,0.18,3.0,0.43
1544799,2,Flatiron District,2,0,2019,159600,32200,7.0,0,0.3333333333333333,4.0,0.14
1545352,2,Harlem,2,0,2003,1278200,256200,5.0,38,0.44,5.0,0.15
1545904,2,Upper West Side,2,2,2014,578200,116200,1.0,25,0.28,2.0,0.29
1546456,2,East Village,0,0,2003,980000,196000,3.0,93,1.05,2.0,0.08
1549770,1,Prospect-Lefferts Gardens,1,0,2011,520800,103600,30.0,32,0.37,1.0,0.15
1550875,2,Upper East Side,0,0,2009,645400,128800,4.0,19,0.22,4.0,0.58
1551427,2,Harlem,2,2,2022,1390200,278600,1.0,0,0.25,3.0,0.56
1551979,2,East Harlem,0,2,2005,260400,51800,3.0,74,0.84,5.0,0.38
1554741,3,Long Island City,2,0,2006,203000,40600,2.0,59,0.94,4.0,0.44
1555845,2,Nolita,0,0,2003,134400,26600,28.0,81,0.93,2.0,0.33
1558054,1,Prospect-Lefferts Gardens,0,0,2008,245000,49000,2.0,92,1.05,2.0,0.14
1561921,1,Crown Heights,0,0,2008,1047200,210000,30.0,58,0.67,1.0,0.61
1562473,1,Bedford-Stuyvesant,0,0,2012,522200,105000,5.0,9,0.1,4.0,0.18
1563577,2,Midtown,0,0,2009,609000,121800,2.0,16,0.24,1.0,0.27
1564130,2,Financial District,0,0,2019,98000,19600,1.0,36,0.57,5.0,0.62
1565234,2,East Village,2,0,2010,291200,58800,14.0,1,0.03,2.0,0.33
1566891,2,East Village,2,2,2010,1117200,224000,3.0,28,0.33,1.0,0.26
1569653,2,Hell's Kitchen,1,0,2008,1031800,205800,30.0,18,0.21,2.0,0.21
1573519,2,Washington Heights,2,2,2021,684600,137200,2.0,13,0.15,4.0,0.4
1574071,2,Upper West Side,1,0,2016,995400,198800,1.0,8,0.09,5.0,0.12
1575176,3,Long Island City,1,2,2012,1348200,270200,180.0,69,0.79,1.0,0.39
1575728,1,Prospect Heights,0,0,2013,966000,193200,4.0,41,0.47,5.0,0.11
1576833,1,East New York,0,0,2004,1113000,222600,4.0,40,0.46,3.0,0.21
1577937,2,Financial District,2,0,2022,939400,187600,4.0,33,0.39,3.0,0.13
1578490,2,Upper East Side,0,2,2014,277200,56000,5.0,2,0.09,2.0,0.68
1579042,2,West Village,2,0,2005,653800,130200,88.0,19,0.22,3.0,0.68
1581803,2,Harlem,2,2,2019,78400,15400,2.0,7,0.08,3.0,0.34
1582908,2,East Village,0,0,2020,1156400,231000,5.0,4,0.07,4.0,0.18
1585669,2,Chelsea,1,0,2007,770000,154000,9.0,10,0.11,4.0,0.01
1586222,2,Upper West Side,1,0,2003,777000,155400,14.0,39,0.45,5.0,0.17
1587879,2,Upper West Side,1,0,2014,495600,99400,4.0,22,0.27,2.0,0.31
1592297,0,Longwood,1,0,2022,1006600,201600,5.0,82,0.96,3.0,0.27
1593954,1,Sunset Park,1,2,2011,666400,133000,7.0,28,0.32,2.0,0.56
1594506,1,Park Slope,2,2,2010,330400,65800,2.0,0,0.4166666666666667,5.0,0.63
1596715,1,Greenpoint,1,0,2019,627200,126000,2.0,7,0.09,1.0,0.5
1597820,1,Bedford-Stuyvesant,2,2,2003,824600,165200,21.0,6,0.07,4.0,0.51
1598372,2,Harlem,1,2,2018,1010800,201600,1.0,3,0.03,3.0,0.57
1602238,2,West Village,1,0,2004,813400,162400,3.0,7,0.08,0.0,0.36
1602791,2,Harlem,2,2,2009,280000,56000,3.0,36,1.76,0.0,0.05
1605552,2,Kips Bay,0,0,2017,600600,120400,2.0,47,0.55,1.0,0.14
1606105,2,Harlem,2,0,2017,452200,91000,8.0,8,0.11,5.0,0.45
1608314,1,Bedford-Stuyvesant,2,2,2003,238000,47600,7.0,2,0.02,5.0,0.57
1608866,1,Crown Heights,2,0,2008,562800,112000,2.0,35,0.54,4.0,0.24
1612180,2,Lower East Side,0,2,2007,133000,26600,1.0,0,0.3333333333333333,4.0,0.55
1613837,2,Battery Park City,2,2,2020,1099000,219800,2.0,8,0.13,3.0,0.39
1614941,2,Morningside Heights,1,2,2015,420000,84000,28.0,69,0.81,1.0,0.31
1616046,1,Bedford-Stuyvesant,1,0,2021,1335600,267400,14.0,3,0.04,4.0,0.07
1618255,1,Bushwick,2,0,2019,1289400,257600,15.0,5,0.06,1.0,0.04
1622121,2,East Village,2,0,2017,1374800,274400,30.0,62,0.74,1.0,0.23
1623778,2,Two Bridges,1,2,2019,1352400,270200,4.0,48,0.56,5.0,0.68
1625987,1,Fort Greene,0,0,2011,1037400,207200,2.0,31,1.14,4.0,0.53
1626540,1,Williamsburg,1,0,2010,210000,42000,30.0,36,0.42,4.0,0.34
1627092,3,Sunnyside,2,2,2021,480200,96600,3.0,1,0.01,2.0,0.71
1632063,1,Clinton Hill,0,0,2009,1380400,275800,4.0,10,0.12,1.0,0.55
1632615,1,Windsor Terrace,1,0,2007,257600,51800,2.0,24,0.39,3.0,0.53
1633167,1,Fort Hamilton,2,0,2017,1167600,233800,30.0,3,0.05,4.0,0.07
1634272,1,Williamsburg,1,0,2010,1316000,263200,7.0,13,0.15,1.0,0.65
1636481,1,Sunset Park,0,2,2010,1223600,245000,2.0,33,0.39,4.0,0.42
1637586,1,Carroll Gardens,2,2,2021,1058400,211400,5.0,0,0.08333333333333333,1.0,0.58
1640347,2,Upper West Side,1,0,2014,397600,79800,3.0,24,0.3,4.0,0.62
1642004,1,Gowanus,2,0,2006,1230600,246400,1.0,66,0.76,4.0,0.02
1642556,1,Columbia St,1,2,2004,1290800,257600,7.0,0,0.3333333333333333,4.0,0.12
1644213,1,Fort Greene,0,0,2018,355600,71400,4.0,2,0.03,4.0,0.41
1644766,1,South Slope,1,0,2013,455000,91000,3.0,12,0.27,1.0,0.55
1646422,0,Allerton,2,2,2022,140000,28000,7.0,2,0.17,5.0,0.55
1646975,1,Brighton Beach,1,0,2007,898800,179200,4.0,63,1.27,3.0,0.24
1648632,2,Upper West Side,1,0,2022,504000,100800,7.0,0,0.3333333333333333,4.0,0.39
1650841,2,Chelsea,2,3,2008,305200,61600,1.0,61,0.71,2.0,0.08
1654155,1,Williamsburg,0,0,2012,530600,106400,2.0,15,0.29,4.0,0.46
1656364,2,Upper West Side,0,0,2005,732200,147000,4.0,2,0.03,4.0,0.33
1656916,2,Lower East Side,2,0,2010,86800,16800,3.0,57,0.7,5.0,0.69
1658021,2,Upper East Side,2,2,2008,561400,112000,1.0,1,0.01,2.0,0.32
1666858,1,Prospect Heights,1,0,2008,1134000,226800,30.0,1,0.01,1.0,0.46
1667962,1,Bedford-Stuyvesant,2,0,2003,660800,131600,10.0,10,0.17,1.0,0.36
1668514,1,Bushwick,1,0,2017,245000,49000,30.0,0,0.08333333333333333,1.0,0.33
1669067,2,Chelsea,1,0,2009,421400,84000,1.0,60,0.78,3.0,0.07
